viewpoint,time_index,reference_Ev_lx,reference_DGP,EIGCM_Ev_lx,EIGCM_DGP,Jones_dcglare_Ev_lx,Jones_dcglare_DGP,Raytraverse_Balanced_Ev_lx,Raytraverse_Balanced_DGP
Viewpoint 1,280,617.515995,0.195248,626.95844,0.1958025,633.31403,0.1971754974289014,610.800122431065,0.1958539671867035
Viewpoint 1,295,32.813964,0.160926,32.972843,0.1609355,33.348011,0.1619574780889232,32.93377420735894,0.1619332125459719
Viewpoint 1,296,204.299798,0.170992,205.04216,0.171036,207.37125,0.1721724968110157,203.369861439177,0.1719378108664797
Viewpoint 1,297,374.279147,0.18097,377.21698,0.1811426,381.5144,0.1823948682171844,372.24470209379984,0.181850764012906
Viewpoint 1,298,542.760662,0.19086,546.89758,0.1911029,553.1676,0.1924709218394902,542.3858141782924,0.1918380472922657
Viewpoint 1,299,646.696754,0.196961,653.15161,0.19734,660.69147,0.1987826096828095,647.6066106020803,0.1980145080423421
Viewpoint 1,300,675.463984,0.19865,680.41675,0.1989405,688.32617,0.2004047321737191,671.1431545303473,0.1993961031709314
Viewpoint 1,301,623.857682,0.19562,629.1817,0.195933,636.55176,0.1973655981693869,622.7710576879273,0.1965566610862813
Viewpoint 1,302,498.223306,0.188246,501.66656,0.1884478,507.59384,0.1897957466684471,499.9890695577028,0.1893493583830371
Viewpoint 1,303,328.986055,0.178311,330.80783,0.1784184,334.74973,0.1796498031477541,330.0934268644761,0.1793764841569447
Viewpoint 1,304,148.036301,0.16769,148.61658,0.1677238,150.39098,0.1688277744869924,147.1034995156547,0.1686349754215689
Viewpoint 1,319,47.844648,0.161808,48.205898,0.1618297,48.755276,0.1628618190964569,48.13540849243508,0.1628255484785059
Viewpoint 1,320,375.123923,0.18102,377.38257,0.1811524,381.70514,0.1824060862879457,373.8920588167408,0.1819474638525426
Viewpoint 1,321,728.59424,0.201768,734.8913,0.2021381,743.34155,0.2036340986684056,724.4620764948368,0.2025259238902469
Viewpoint 1,322,1055.36682,0.231545,1063.1488,0.22223,1075.4077,0.223633,1053.3030447141646,0.2320609724335688
Viewpoint 1,323,1266.660416,0.255218,1275.0507,0.2376935,1289.7545,0.2374785,1263.1851892623104,0.2543069900722299
