case,reference_range,method,n,MAE,RMSE,MBE,median_AE,P95_AE,max_AE,CCC,fit_R2,slope,intercept,source_file,P99_AE
C1,0.38 <= DGP < 0.45,Raytraverse Balanced,865,0.0627499192036762,0.1361218448065137,0.0102611477680302,0.0233243223522911,0.2804364952206927,0.61898,0.0286796006163027,0.0100899404920762,0.6850187447558885,0.1396754004834454,stratified_dgp_metrics.csv,
C1,0.38 <= DGP < 0.45,Raytraverse High,865,0.0609377858032417,0.1382695434135393,0.0181233965673829,0.0190103085733295,0.3221474532134299,0.61898,0.0280893862328205,0.0100899795306729,0.691839248181638,0.1447353544182917,stratified_dgp_metrics.csv,
C1,DGP >= 0.45,EIGCM (MF1),1707,0.0159341782659636,0.0453417462696833,-0.0073045396016403,0.0053003999999999,0.0531329999999999,0.7100477000000001,0.980081309125544,0.9632640927239212,1.0237318046386763,-0.0245454079704293,stratified_dgp_metrics.csv,
C1,DGP >= 0.45,Jones dcglare,1707,0.1082130929265853,0.1826736674057205,-0.0314763670917874,0.013197,0.4109998799999996,0.6832005,0.6888217159506375,0.4857434076109452,0.7475458596240566,0.1519285053840234,stratified_dgp_metrics.csv,
C1,DGP >= 0.45,Raytraverse Balanced,1707,0.1178496533263009,0.2123454337936761,-0.0715260307060601,0.0318283319144179,0.5395476746552079,0.7712659193143268,0.6288152641858347,0.4409721925180651,0.7730493439665821,0.0933508695742296,stratified_dgp_metrics.csv,
C1,DGP >= 0.45,Raytraverse High,1707,0.1173838782456262,0.2112783535471967,-0.065884675687076,0.0305452381436145,0.5320353152150096,0.7650858366868951,0.6295023328827647,0.4361584323130131,0.7675563514972906,0.1029828170304805,stratified_dgp_metrics.csv,
C2,DGP < 0.34,EIGCM (MF1),13264,0.0046600544179734,0.0085173248860392,-0.0039970695114595,0.0009631499999999,0.0207602799999999,,0.9824024929089956,0.977926280807044,0.9186745699540008,0.012956257615684,stratified_dgp_metrics.csv,0.0306837429999999
C2,DGP < 0.34,Jones dcglare,13264,0.0056707722275738,0.0101930494169659,-0.0025321850589153,0.0018751365509855,0.0244803149999999,,0.9746087904146588,0.9588369548252677,0.9046324336566358,0.017348405165128,stratified_dgp_metrics.csv,0.0395402892011899
C2,DGP < 0.34,Raytraverse Balanced,13264,0.0083825700660616,0.0198239626293359,-0.003250400302456,0.0023890897264087,0.0338134857326561,,0.911275516319942,0.8344034078177283,0.9155964983006688,0.0143445902703062,stratified_dgp_metrics.csv,0.063932066010456
C2,0.34 <= DGP < 0.38,EIGCM (MF1),836,0.0133168110047846,0.0152515450971557,-0.010924535645933,0.01271535,0.0246233999999999,,0.5315924696090801,0.5381830199840751,0.9999998094748668,-0.0109244671834796,stratified_dgp_metrics.csv,0.03622788
C2,0.34 <= DGP < 0.38,Jones dcglare,836,0.0186087618421052,0.0224548511001906,-0.0135324649521531,0.0166744,0.0402894749999999,,0.3344356410340979,0.2747875411390795,0.9597544512854828,0.0009291914398577,stratified_dgp_metrics.csv,0.0483284599999999
C2,0.34 <= DGP < 0.38,Raytraverse Balanced,836,0.0311908512781471,0.0474342962046556,-0.0175341555776611,0.0195974568198685,0.0773710479045045,,0.0715484011229941,0.0287015208448241,0.6568147030914786,0.1057845219209772,stratified_dgp_metrics.csv,0.1319058858529648
C2,0.38 <= DGP < 0.45,EIGCM (MF1),1367,0.0141751702999268,0.0169299291430512,-0.0098416912948061,0.0128179,0.03182489,,0.736522102514906,0.6861211677658818,1.0331294443282912,-0.02359923504693,stratified_dgp_metrics.csv,0.0455377939999999
C2,0.38 <= DGP < 0.45,Jones dcglare,1367,0.0182341296269202,0.0221698184685881,-0.0110351221653255,0.0161728999999999,0.03738619,,0.6300358692251058,0.551523153319248,1.07927667873744,-0.0439560599705525,stratified_dgp_metrics.csv,0.0568230559999998
C2,0.38 <= DGP < 0.45,Raytraverse Balanced,1367,0.044219160777395,0.069495066902343,-0.0238353959675324,0.0337715350805257,0.1132881935063583,,0.1064891634122471,0.0480077875817218,0.7421922396213725,0.083223494242021,stratified_dgp_metrics.csv,0.2232461534954267
