case,view_id,time_index,reference_DGP,reference_Ev_lx,EIGCM_DGP,EIGCM_Ev_lx,Jones_dcglare_DGP,Jones_dcglare_Ev_lx,Raytraverse_Balanced_DGP,Raytraverse_Balanced_Ev_lx,Raytraverse_High_DGP,Raytraverse_High_Ev_lx
C1,4,1912,0.331333,2789.733,0.3201761,2728.2217,0.3310741,2745.00146484,0.32236163,2596.89443478,0.32723766,2679.45104596
C1,4,1913,0.410773,4045.875,0.4051484,3957.1602,0.4093512,3958.93505859,0.3864356,3509.15278836,0.40817399,3839.19887125
C1,4,4109,0.160221,20.801,0.1601877,20.233469,0.16119593,20.37759781,0.16115038,19.59768245,0.16117627,20.03864857
C1,4,4110,0.171864,219.145,0.1715506,213.80984,0.17263871,215.320755,0.17215818,207.12394187,0.172413,211.46499857
C1,4,4111,0.185851,457.434,0.1852378,446.9819,0.18642274,450.13272095,0.18539852,432.68353127,0.18594232,441.94750244
C1,4,4112,0.201266,720.03,0.2001242,700.58197,0.20141459,705.53234863,0.19980125,678.04514505,0.20063111,692.18238406
C1,4,4113,0.215319,959.441,0.2137409,932.5545,0.2151292,939.17193604,0.21317933,905.95110607,0.21409717,921.587189
C1,4,4114,0.22631,1146.672,0.2247491,1120.0872,0.2262169,1128.06018066,0.22394154,1089.29374276,0.22506817,1108.48667819
C1,4,4115,0.233856,1275.231,0.2321073,1245.4402,0.2336274,1254.3034668,0.23097729,1209.15321236,0.23241871,1233.70886063
C1,4,4116,0.236353,1317.777,0.2342761,1282.3871,0.2358112,1291.5057373,0.2329668,1243.0459531,0.23449601,1269.09735894
C1,4,4117,0.232943,1259.668,0.2308961,1224.8054,0.2324086,1233.54064941,0.22978088,1188.77133521,0.2311565,1212.20621488
C1,4,4118,0.224368,1113.601,0.2225643,1082.8676,0.2240196,1090.62658691,0.22115486,1041.82042542,0.22287365,1071.10129879
C1,4,4119,0.21094,884.839,0.2096158,862.27936,0.21097971,868.48059082,0.20881999,831.68642325,0.21004686,852.58698401
C1,4,4120,0.195657,624.48,0.1946752,607.75476,0.19593156,612.1239624,0.19461525,589.69758518,0.1952604,600.68826907
C1,4,4121,0.180858,372.361,0.1802192,361.48483,0.18137038,364.06298828,0.18050121,349.25402864,0.18099457,357.65877738
C1,4,4122,0.168603,163.588,0.1683881,159.9339,0.16945248,161.0475769,0.16906898,154.49704315,0.16928136,158.11521164
