case,view_id,method,n,RMSE
C1,80,Raytraverse High,36,0.24538063036977492
C1,81,EIGCM (MF1),36,0.002252898827930116
C1,81,Jones dcglare,36,0.004331260339736256
C1,81,Raytraverse Balanced,36,0.002467022002254609
C1,81,Raytraverse High,36,0.0026991416310498915
C1,82,EIGCM (MF1),36,0.005484745385410137
C1,82,Jones dcglare,36,0.0037837261203243775
C1,82,Raytraverse Balanced,36,0.002878470338662725
C1,82,Raytraverse High,36,0.0022109788144400572
C1,83,EIGCM (MF1),36,0.009620296206631756
C1,83,Jones dcglare,36,0.007309344782413433
C1,83,Raytraverse Balanced,36,0.010818556968594777
C1,83,Raytraverse High,36,0.004034498104273455
C1,84,EIGCM (MF1),36,0.006787311438510342
C1,84,Jones dcglare,36,0.03826306695654027
C1,84,Raytraverse Balanced,36,0.024194332462783172
C1,84,Raytraverse High,36,0.021473188600014546
C1,85,EIGCM (MF1),36,0.012080884670684881
C1,85,Jones dcglare,36,0.04538377456405918
C1,85,Raytraverse Balanced,36,0.049518129396811356
C1,85,Raytraverse High,36,0.04780166391624953
C1,86,EIGCM (MF1),36,0.010316682716048369
C1,86,Jones dcglare,36,0.04167058472748828
C1,86,Raytraverse Balanced,36,0.04404131920619649
C1,86,Raytraverse High,36,0.0429938689637103
C1,87,EIGCM (MF1),36,0.005899370886185895
C1,87,Jones dcglare,36,0.06272470280524452
C1,87,Raytraverse Balanced,36,0.04092617004642409
C1,87,Raytraverse High,36,0.040028602162346445
C1,88,EIGCM (MF1),36,0.0031031096450442565
C1,88,Jones dcglare,36,0.002967485646383896
C1,88,Raytraverse Balanced,36,0.0026704808202508735
C1,88,Raytraverse High,36,0.0018006383677910208
C1,89,EIGCM (MF1),36,0.010582424164925018
C1,89,Jones dcglare,36,0.07653272736919722
C1,89,Raytraverse Balanced,36,0.11460262359110833
C1,89,Raytraverse High,36,0.11365105377138707
C1,90,EIGCM (MF1),36,0.012531977333982241
C1,90,Jones dcglare,36,0.07617210635764565
